States/UTs,Abbreviation,Women literate Rural,Women literate Urban,Women 10 or more years of schooling Rural,Women 10 or more years of schooling Urban,Female population age 6 years and above attended school Rural,Female population age 6 years and above attended school Urban,Women  who worked and were paid in cash Rural,Women who worked and were paid in cash Urban,Women owning a house and/or land (alone or jointly with others) Rural,Women) owning a house and/or land (alone or jointly with others) Urban,Women having a bank or savings account Rural,Women having a bank or savings account Urban
Andaman & Nicobar Islands,A&N,85.6,86.6,47.6,59.7,81.8,86.5,17.1,34.7,19.4,10.9,89.8,88.5
Andhra Pradesh,AP,63.8,79.0,34.3,51.2,61.2,75.5,44.5,36.5,50.6,41.4,79.6,86.7
Arunachal Pradesh,AR,71.6,84.7,36.2,55.4,69.0,83.2,23.6,23.0,70.3,69.8,76.7,86.0
Assam,AS,75.4,87.5,26.2,49.0,76.5,87.9,19.3,17.2,43.9,36.3,77.9,81.9
Bihar,BR,54.5,74.9,25.2,48.0,58.7,74.2,12.8,11.7,55.7,53.4,76.2,79.1
Chandigarh,CH,69.2,83.1,30.8,59.9,69.2,86.8,0,22.0,0,30.4,0,87.1
Chhattisgarh,CG,71.3,85.3,32.1,52.4,66.1,80.3,42.6,28.4,45.5,46.1,81.1,77.9
Dadra and Nagar Haveli & Daman and Diu,DD,67.9,87.7,24.2,48.6,65.0,85.8,39.5,23.5,59.7,51.9,89.3,78.0
Goa,GA,93.4,92.6,69.3,73.0,87.2,90.2,27.9,35.2,24.1,22.4,92.4,85.1
Gujarat,GJ,69.0,86.8,23.6,47.9,65.4,83.7,34.1,26.4,43.3,41.6,67.5,73.5
Haryana,HR,78.8,87.4,44.1,60.1,69.6,82.3,17.0,22.6,41.0,35.7,72.4,76.3
Himachal Pradesh,HP,91.2,95.0,63.8,79.8,79.3,92.4,17.7,36.3,23.4,21.1,82.2,88.8
Jammu & Kashmir,JK,74.7,84.3,46.2,65.1,67.9,76.0,18.5,18.1,60.8,48.2,83.5,88.5
Jharkhand,JH,59.3,82.4,26.3,54.4,60.2,78.7,17.7,18.8,66.5,57.4,79.8,79.2
Karnataka,KA,71.0,85.1,42.0,62.3,67.0,82.0,41.4,30.5,69.7,64.5,87.7,90.2
Kerala,KL,97.5,99.1,75.3,78.8,94.1,97.0,25.8,25.8,29.2,25.3,78.2,78.9
Ladakh,LA,76.6,77.7,49.2,53.8,67.8,68.7,28.3,28.6,73.0,69.0,88.7,87.2
Lakshadweep,LD,96.8,96.4,66.3,68.2,96.9,91.9,12.9,10.4,29.4,31.1,67,66.9
Madhya Pradesh,MP,63.3,83.3,21.7,49.1,62.6,80.5,28.0,23.2,41.3,35.8,73.3,78.5
Maharastra,MH,79.5,90.2,40.7,61.1,73.1,87.2,39.6,29.1,24.5,21.1,70.9,75.0
Manipur,MN,84.8,92.1,40.6,60.0,81.2,88.4,44.0,39.5,58.9,57.6,70.7,78.6
Meghalaya,ML,85.5,97.1,27.3,61.4,83.4,94.7,39.1,43.1,70.1,47.8,68.2,78.0
Mizoram,MZ,87.7,99.1,32.7,62.3,87.5,97.6,29.0,29.4,28.4,14.5,75.0,85.4
Nagaland,NL,82.7,91.5,34.1,63.7,81.9,92.1,20.7,28.6,28.9,23.4,55.4,77.9
NCT of Delhi,DL,89.0,84.9,68.7,59.5,82.6,83.8,17.2,25.0,27.4,22.6,84.8,72.3
Odisha,OR,69.2,83.9,29.6,47.9,69.1,83.1,25.6,26.3,45.5,35.4,87.4,82.8
Puducherry,PY,89.1,92.1,57.8,68.9,78.0,87.7,44.8,35.4,38.3,36.8,96.7,90.9
Punjab,PB,80.0,83.7,52.2,62.4,73.8,82.7,20.2,25.6,67.1,58.0,82.1,80.9
Rajasthan,RJ,61.6,81.3,27.8,51.2,59.4,76.9,17.5,17.0,26.6,26.5,79.0,81.7
Sikkim,SK,86.2,92.8,41.2,60.2,79.5,90.3,29.3,38.1,50.6,56.9,76.7,76.0
Tamil Nadu,TN,81.5,90.6,49.9,63.7,74.5,86.8,45.5,35.4,52.0,43.2,91.7,92.7
Telangana,TG,58.1,81.0,36.3,60.9,52.4,75.9,55.5,28.2,74.5,53.9,85.2,83.0
Tripura,TR,76.9,89.9,17.9,36.6,78.9,89.1,25.9,15.8,17.3,16.8,77.7,74.9
Uttar Pradesh,UP,65.6,78.6,35.0,51.9,64.6,76.2,14.8,17.7,53.5,46.8,74.1,79.8
Uttarakhand,UK,79.8,85.3,46.0,59.4,72.0,82.4,22.2,20.2,25.1,23.3,79.8,81.3
West Bengal,WB,72.5,83.4,25.9,47.6,73.3,84.1,20.2,20.2,22.5,24.7,73.2,82.9
